timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703022756526,619,suggestions searches,200,OK,search sugestions and products 1-2,text,true,,1387,441,12,12,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=b,619,0,446
1703022756468,697,suggestions searches,200,OK,search sugestions and products 1-1,text,true,,877,441,12,12,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=a,697,0,532
1703022756585,627,suggestions searches,200,OK,search sugestions and products 1-3,text,true,,1352,441,13,13,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=c,627,0,460
1703022756645,600,suggestions searches,200,OK,search sugestions and products 1-4,text,true,,1398,441,14,14,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=d,600,0,436
1703022756705,580,suggestions searches,200,OK,search sugestions and products 1-5,text,true,,877,441,14,14,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=e,580,0,436
1703022756765,624,suggestions searches,200,OK,search sugestions and products 1-6,text,true,,1347,441,16,16,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=f,624,0,447
1703022756826,1609,suggestions searches,200,OK,search sugestions and products 1-7,text,true,,1364,441,33,33,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=h,1609,0,481
1703022756885,1683,suggestions searches,200,OK,search sugestions and products 1-8,text,true,,1341,441,36,36,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=i,1683,0,448
1703022756945,2326,suggestions searches,200,OK,search sugestions and products 1-9,text,true,,1328,441,47,47,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=j,2326,0,455
1703022757066,6945,suggestions searches,200,OK,search sugestions and products 1-11,text,true,,1368,441,126,126,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=l,6944,0,1510
1703022757006,7255,suggestions searches,200,OK,search sugestions and products 1-10,text,true,,1390,441,130,130,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=k,7255,0,1562
1703022757148,8361,suggestion products,200,OK,search sugestions and products 1-2,text,true,,139865,497,151,151,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_products?term=b,939,0,0
1703022757126,8528,suggestions searches,200,OK,search sugestions and products 1-12,text,true,,1323,441,153,153,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=m,8528,0,6319
1703022757185,9516,suggestions searches,200,OK,search sugestions and products 1-13,text,true,,1396,441,170,170,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=n,9516,0,6833
1703022757245,10679,suggestions searches,200,OK,search sugestions and products 1-14,text,true,,1229,446,191,191,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=ñ,10679,0,7367
1703022757246,11394,suggestion products,200,OK,search sugestions and products 1-4,text,true,,113875,497,202,202,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_products?term=d,542,0,0
1703022757305,17580,suggestions searches,200,OK,search sugestions and products 1-15,text,true,,878,441,306,306,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=o,17580,0,8341
1703022757366,21794,suggestions searches,200,OK,search sugestions and products 1-16,text,true,,1332,441,377,377,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=p,21794,0,9247
1703022757425,23104,suggestions searches,200,OK,search sugestions and products 1-17,text,true,,1303,441,400,400,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=q,23104,0,10500
1703022767146,18403,suggestions searches,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,search sugestions and products 1-179,text,false,,3041,0,483,483,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=w,0,0,18403
1703022757545,28181,suggestions searches,200,OK,search sugestions and products 1-19,text,true,,1321,441,486,486,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=s,28181,0,23525
1703022757485,28247,suggestions searches,200,OK,search sugestions and products 1-18,text,true,,1363,441,486,486,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=r,28247,0,23569
1703022757605,28201,suggestions searches,200,OK,search sugestions and products 1-20,text,true,,1298,441,487,487,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=t,28201,0,23476
1703022757664,28361,suggestions searches,200,OK,search sugestions and products 1-21,text,true,,1397,441,491,491,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=u,28361,0,23440
1703022757785,28241,suggestions searches,200,OK,search sugestions and products 1-23,text,true,,1321,441,491,491,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=w,28241,0,23318
1703022757725,28301,suggestions searches,200,OK,search sugestions and products 1-22,text,true,,1317,441,491,491,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=v,28301,0,23378
1703022757845,28236,suggestions searches,200,OK,search sugestions and products 1-24,text,true,,1337,441,492,492,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=x,28236,0,23279
1703022757966,28128,suggestions searches,200,OK,search sugestions and products 1-26,text,true,,1369,441,492,492,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=z,28128,0,23159
1703022757905,28211,suggestions searches,200,OK,search sugestions and products 1-25,text,true,,878,441,493,493,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=y,28211,0,23220
1703022758032,28814,suggestions searches,200,OK,search sugestions and products 1-27,text,true,,877,441,505,505,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=a,28814,0,23546
1703022758088,32647,suggestions searches,200,OK,search sugestions and products 1-28,text,true,,1387,441,570,570,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=b,32647,0,25058
